product_id,product_name,link_image,image_path
92367,Engagement Ring Roselina 1.0 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/roselina1-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Roselina-1.0-crt-view-1.jpg
110584,GLAMIRA Earring Corliss,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/corliss/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Earring-Corliss-view-1.jpg
109432,GLAMIRA Ring Jensine,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jensine/diamond/topaz-Blue_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg,gs://glamira_bucket/product-image/GLAMIRA-Ring-Jensine-view-1.jpg
102107,GLAMIRA Kids Bracelet Fabiolita,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDB-U022/diamond/ruby_AAA/alloycolour/red.jpg,gs://glamira_bucket/product-image/GLAMIRA-Kids-Bracelet-Fabiolita-view-1.jpg
92485,GLAMIRA Necklace Elsie,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Pendant-18/diamond/diamond-Brillant_AAA/alloycolour/red_white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Necklace-Elsie-view-1.jpg
96566,Men's Ring Bright Love 6 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-C191003-U-MEN/alloycolour/white/width/w6/profile/prA/surface/polished.jpg,gs://glamira_bucket/product-image/Men's-Ring-Bright-Love-6-mm-view-3.jpg
92278,Engagement Ring Anni,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/anni-n-036/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Anni-view-1.jpg
95199,Engagement Ring Amanda 2.0crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amanda2-n/diamond/emerald_AA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Amanda-2.0crt-view-1.jpg
92370,Engagement Ring Sadie,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sadie05-n/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Sadie-view-1.jpg
101872,GLAMIRA Ring Mauriya,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSR-28/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Ring-Mauriya-view-1.jpg
96459,Engagement Ring Cadence,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/layer-cadence/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Cadence-view-1.jpg
96448,GLAMIRA Ring Sunita,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sunita-n/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg,gs://glamira_bucket/product-image/GLAMIRA-Ring-Sunita-view-1.jpg
84838,Engagement Ring Saphira,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100335/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Saphira-view-1.jpg
98252,Engagement Ring Agrippina,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp002u1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Agrippina-view-1.jpg
96530,Wedding Ring Bright Nature 2 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-C191004-U-1/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w2/profile/prA/surface/polished.jpg,gs://glamira_bucket/product-image/Wedding-Ring-Bright-Nature-2-mm-view-1.jpg
92291,Engagement Ring Brianna,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brianna-n-016/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Brianna-view-1.jpg
101312,GLAMIRA Men's Ring Aljerino,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MRI-U002/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/GLAMIRA-Men's-Ring-Aljerino-view-1.jpg
96616,Engagement Ring Cannoli,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp022/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Cannoli-view-1.jpg
98262,Engagement Ring Bona,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bona08-n/diamond/ruby_AA/alloycolour/yellow.jpg,gs://glamira_bucket/product-image/Engagement-Ring-Bona-view-1.jpg
96954,Wedding Ring Exotic Milkway 6mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-E11820V1/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w6/profile/prA/surface/polished.jpg,gs://glamira_bucket/product-image/Wedding-Ring-Exotic-Milkway-6mm-view-1.jpg
