product_id,product_name,link_image
96459,Engagement Ring Cadence,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/layer-cadence/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
96448,GLAMIRA Ring Sunita,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sunita-n/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg
84838,Engagement Ring Saphira,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100335/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
98252,Engagement Ring Agrippina,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp002u1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
96530,Wedding Ring Bright Nature 2 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-C191004-U-1/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w2/profile/prA/surface/polished.jpg
92291,Engagement Ring Brianna,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/brianna-n-016/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
101312,GLAMIRA Men's Ring Aljerino,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MRI-U002/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
96616,Engagement Ring Cannoli,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp022/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
98262,Engagement Ring Bona,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bona08-n/diamond/ruby_AA/alloycolour/yellow.jpg
96954,Wedding Ring Exotic Milkway 6mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-E11820V1/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w6/profile/prA/surface/polished.jpg
103958,GLAMIRA Pendant Sinobia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/sinobia02/diamond/tanzanite_AAA/alloycolour/red.jpg
91064,Engagement Ring Alfrida 0.5 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alfrida05-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
103149,Engagement Ring Malgosia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/malgosia01/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
108850,Shining Fortune 8 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-h1060/womenstone/diamond-zirconia_AAAAA/alloycolour/white_red/width/w8/profile/prA/surface/polished.jpg
98369,Engagement Ring Loredana,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp038/diamond/lab-grown-diamond_AAA/alloycolour/red.jpg
102484,GLAMIRA Bracelet Tanel,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WBCL-U056/diamond/diamond-Brillant_AAA/alloycolour/white_red.jpg
84879,Engagement Ring Amalia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amalia-n/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
110387,GLAMIRA Men's Pendant Balfour,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-balfour/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
89602,GLAMIRA Men's Ring No Rush,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN17/diamond/sapphire_AA/alloycolour/white.jpg
89592,GLAMIRA Men's Ring Cool Breeze,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN18/diamond/topaz-Blue_AAA/alloycolour/white.jpg
84776,Engagement Ring Jessica,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100680R/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
106239,Wedding Ring Strong Love 5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-n1130/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w5/profile/prA.jpg
98787,Men's Ring Pure Love 6 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-S4008-MEN/alloycolour/white/width/w6/profile/prB/surface/polished_verticalline.jpg
103337,Engagement Ring Naola,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/naola/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
90419,GLAMIRA Pendant Despina,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/P3-033/diamond/diamond-Brillant_AAA/alloycolour/yellow_white.jpg
109652,GLAMIRA Necklace Harvey,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/harvey-n/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg
102106,GLAMIRA Kids Bracelet Ezira,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/KIDB-U021/diamond/diamond-Brillant_AAA/alloycolour/red.jpg
99682,Women's Ring Exotic Birth,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD-MA020-WOMEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white.jpg
101332,GLAMIRA Men's Ring Fernando,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MRI-U022/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
93240,Classic Glow 2.5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD18280/womenstone/diamond-Brillant_AAA/alloycolour/yellow/width/w2/profile/prA/surface/verticalline.jpg
102509,Engagement Ring Oiffe,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/oiffe-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
96049,Women's Ring Alluring Spring 4 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD-T45000-WOMEN/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w4/profile/prA/surface/polished_icematte.jpg
103352,GLAMIRA Ring Maharlika,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/maharlika/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
89607,GLAMIRA Men's Ring Ramses,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN1/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
90475,Men's Ring Celtic Way,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/R37091-7Z-MEN/alloycolour/white.jpg
91040,Engagement Ring Joy 0.5crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/joy05-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
92275,Engagement Ring Amay 0.2 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/amay-n-02/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
100932,GLAMIRA Bracelet Cherise,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Cherise/alloycolour/white_red.jpg
85809,GLAMIRA Pendant Maria,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100700/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
90183,GLAMIRA Pendant G,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/N37461-2-G/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
109726,Charming Infinite 8 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-h14319091/womenstone/diamond-zirconia_AAAAA/alloycolour/red/width/w8/profile/prA/surface/polished.jpg
90940,Engagement Ring Bridal Rise 0.5crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bridal-rise05-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
84883,Engagement Ring Madeleine,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100165/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
89436,GLAMIRA Ring Patricia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/A28299-1Z/diamond/ruby_AAA/alloycolour/yellow.jpg
101868,GLAMIRA Ring Jordana,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSR-C24/alloycolour/yellow_white.jpg
103324,Engagement Ring Zanyria,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/zanyria11-layer1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/red.jpg
92405,GLAMIRA Earring Alessandra,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Earring-1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
103508,GLAMIRA Ring Vontasia,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/vontasia1/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
98357,Engagement Ring Dorotea,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/dorotea025-n/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
110444,GLAMIRA Men's Pendant Milan,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-milan/alloycolour/white.jpg
89601,GLAMIRA Men's Ring Magical Day,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MEN23/diamond/sapphire_AAA/alloycolour/white.jpg
91046,Engagement Ring Abella 0.16 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/abella016-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
80297,Wedding Ring Smart Ease,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/P7011rr/womenstone/diamond-Brillant_AAA/alloycolour/white.jpg
110020,GLAMIRA Ring Orina,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/orina/diamond/sapphire_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
92397,Engagement Ring Fleta,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fleta/diamond/diamond-Brillant_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
104183,GLAMIRA Ring Massima,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/massima1/diamond/citrine_AAA/stone2/diamond-sapphire_AAA/alloycolour/yellow.jpg
102065,GLAMIRA Necklace Lamyra,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/DP-050/diamond/ruby_AAA/alloycolour/yellow.jpg
95760,Wedding Ring Heavenly Tender 5mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-T210810/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w5/profile/prA/surface/polished_sandy.jpg
98080,Wedding Ring White Innocence 4 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-S2900-exccl/womenstone/diamond-zirconia_AAAAA/alloycolour/yellow_white/width/w4/profile/prA/surface/polished.jpg
84792,GLAMIRA Men's Ring Hercules,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100545/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
104040,GLAMIRA Earring Hanzila,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/hanzila/diamond/garnet_AAA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
99558,GLAMIRA Men's Earring Kmetov,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MER-014/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
94244,Men's Ring Classic 4mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD210000/alloycolour/white/width/w4/profile/prA/surface/polished.jpg
110002,Engagement Ring Aithen,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aithen11/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/yellow.jpg
102504,GLAMIRA Ring Tamriel,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/tamriel-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
103939,GLAMIRA Pendant Mayzelle,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mayzelle/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/red.jpg
110561,Engagement Ring Bona 2.0 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bona2-n/diamond/topaz-mystic_AAA/alloycolour/yellow.jpg
84859,Engagement Ring Daisy,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/daisy-n/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/stone3/lab-grown-diamond_AAA/alloycolour/white.jpg
96047,Wedding Ring Alluring Spring 4 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-T45000/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w4/profile/prA/surface/polished_icematte.jpg
108732,GLAMIRA Ring Aurkene,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/aurkene/diamond/labdiamond_AAAA/stone2/labdiamond_AAAA/alloycolour/white.jpg
80315,Wedding Ring Smart Queen,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/P7013R/womenstone/diamond-Brillant_AAA/alloycolour/white.jpg
95560,GLAMIRA Ring Verde,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GLNR570V1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
92307,Engagement Ring Effie,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/effie-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
105081,Men's Ring Noble Shape 4 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd-n1034-MEN/alloycolour/white/width/w4/profile/prA/surface/polished_icematte.jpg
98154,Wedding Ring Unique Promise 4 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-S3100-U-exccl/womenstone/diamond-zirconia_AAAAA/alloycolour/white/width/w4/profile/prB/surface/polished_verticalline.jpg
92735,Women's Ring Classic Expression 2.5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD12400-WOMEN/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w2/profile/prA/surface/polished.jpg
100982,GLAMIRA Bracelet Andreya,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/andreya1/alloycolour/yellow.jpg
110381,GLAMIRA Horoscope Pendant Taurus,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/taurus-n/alloycolour/yellow.jpg
84806,GLAMIRA Ring Rosalie,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/G100615/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
93360,Women's Ring Classic Flower 5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/2/sku/GWD16400-WOMEN/womenstone/diamond-Brillant_AAA/alloycolour/white/width/w5/profile/prB/surface/horizantly.jpg
98811,Wedding Ring Charming Glow 5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-S4013/womenstone/diamond-zirconia_AAAAA/alloycolour/white_red/width/w5/profile/prB/surface/polished.jpg
92443,GLAMIRA Earring Peyton,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Earring-21/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
89431,Engagement Ring Tina,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/layer-gi00176-n11/diamond/pinksapphire_AA/stone2/diamond-Swarovsky_AAAAA/alloycolour/white.jpg
96557,Men's Ring Bright Love 5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-C191003-U-MEN/alloycolour/white/width/w5/profile/prA/surface/polished.jpg
108765,Engagement Ring Bayamine 1.0 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bayamine1-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
90393,Engagement Ring Fausta,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/fausta04-n1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
98234,Wedding Ring Unique Joy 5 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/GWD-S3500-U/womenstone/diamond-Brillant_AAA/alloycolour/yellow/width/w5/profile/prA/surface/polished.jpg
90657,Women's Ring Gracious Pride,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/DSC_5083-17-MEN/womenstone/diamond-zirconia_AAAAA/alloycolour/white_yellow.jpg
92389,Engagement Ring Aldea,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/layer-aldea1/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/white.jpg
99784,GLAMIRA Bracelet Inari,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/OEBL-004/diamond/diamond-Brillant_AAA/alloycolour/yellow.jpg
84871,Engagement Ring Victoria,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/VIC-001/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
104577,GLAMIRA Men's Earring Donatien,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/donatien/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
97868,Engagement Ring Marinella,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/nlp045/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
90742,GLAMIRA Ring Gaby,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/R14G/diamond/lab-grown-diamond_AAA/stone2/lab-grown-diamond_AAA/alloycolour/red_white.jpg
84843,Engagement Ring Ashley,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/ashley-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
99991,Engagement Ring Mabule,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/mabule-layer1/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/yellow.jpg
93576,Men's Ring Classic Search 7mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/gwd18580-u-MEN/alloycolour/white/width/w7/profile/prB/surface/sandy.jpg
99688,Men's Ring Alluring Ground 6 mm,https://cdn-media.glamira.com/media/product/newgeneration/view/3/sku/GWD-MA001-MEN/alloycolour/white/width/w6/profile/prB.jpg
90474,Wedding Ring Celtic Way,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/R37091-7Z/alloycolour/white.jpg
80272,Wedding Ring Brilliant Sunset,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/C2849r/womenstone/diamond-Brillant_AAA/alloycolour/white.jpg
90186,GLAMIRA Pendant J,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/N37461-2-J/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
92325,Engagement Ring Jemma 0.5 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/jemma05-n/diamond/lab-grown-diamond_AAA/alloycolour/white.jpg
110559,Engagement Ring Berdina 0.5 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/berdina05-n/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/stone3/diamond-Brillant_AAA/alloycolour/white.jpg
110558,Engagement Ring Berangaria 1.0 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/berangaria1-n/diamond/aquamarine_AAA/alloycolour/yellow.jpg
96592,Engagement Ring Simone,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/Simone/diamond/diamond-Brillant_AAA/alloycolour/white.jpg
96688,GLAMIRA Ring Zivot,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/WSR-4U/alloycolour/yellow.jpg
104031,GLAMIRA Men's Ring Liviu,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/liviu/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
98370,GLAMIRA Bracelet Alama,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/alama111/diamond/sapphire_AAA/alloycolour/yellow.jpg
110562,Engagement Ring Bona 3.0 crt,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/bona3-n/diamond/sapphire_AA/alloycolour/yellow.jpg
99638,Wedding Ring Mystic Winter,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/gwd-ma024n/womenstone/diamond-zirconia_AAAAA/alloycolour/white.jpg
110524,Engagement Ring Lea,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/lea-ring/diamond/diamond-Brillant_AAA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
110463,GLAMIRA Men's Pendant Sean,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/men-sean/alloycolour/white.jpg
101334,GLAMIRA Men's Ring Telvis,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/MRI-U024/diamond/ruby_AA/stone2/diamond-Brillant_AAA/alloycolour/white.jpg
